Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.000      0.000000    0           1.00
323.407    0.100000    1           1.11
324.511    0.200000    2           1.25
325.103    0.300000    3           1.43
326.303    0.400000    4           1.67
326.815    0.500000    5           2.00
332.207    0.550000    6           2.22
332.207    0.600000    6           2.50
339.615    0.650000    7           2.86
339.615    0.700000    7           3.33
344.511    0.750000    8           4.00
344.511    0.775000    8           4.44
344.511    0.800000    8           5.00
344.511    0.825000    8           5.71
365.103    0.850000    9           6.67
365.103    0.875000    9           8.00
365.103    0.887500    9           8.89
365.103    0.900000    9           10.00
365.103    0.912500    9           11.43
365.103    0.925000    9           13.33
365.103    0.937500    9           16.00
365.103    0.943750    9           17.78
367.311    0.950000    10          20.00
367.311    0.956250    10          22.86
367.311    0.962500    10          26.67
367.311    0.968750    10          32.00
367.311    0.971875    10          35.56
367.311    0.975000    10          40.00
367.311    0.978125    10          45.71
367.311    0.981250    10          53.33
367.311    0.984375    10          64.00
367.311    0.985938    10          71.11
367.311    0.987500    10          80.00
367.311    0.989062    10          91.42
367.311    0.990625    10          106.67
367.311    0.992188    10          128.01
367.311    0.992969    10          142.23
367.311    0.993750    10          160.00
367.311    0.994531    10          182.85
367.311    0.995313    10          213.36
367.311    0.996094    10          256.02
367.311    0.996484    10          284.41
367.311    0.996875    10          320.00
367.311    0.997266    10          365.76
367.311    0.997656    10          426.62
367.311    0.998047    10          512.03
367.311    0.998242    10          568.83
367.311    0.998437    10          639.80
367.311    0.998633    10          731.53
367.311    0.998828    10          853.24
367.311    0.999023    10          1023.54
367.311    0.999121    10          1137.66
367.311    0.999219    10          1280.41
367.311    0.999316    10          1461.99
367.311    0.999414    10          1706.48
367.311    0.999512    10          2049.18
367.311    0.999561    10          2277.90
367.311    0.999609    10          2557.54
367.311    0.999658    10          2923.98
367.311    0.999707    10          3412.97
367.311    0.999756    10          4098.36
367.311    0.999780    10          4545.45
367.311    0.999805    10          5128.21
367.311    0.999829    10          5847.95
367.311    0.999854    10          6849.32
367.311    0.999878    10          8196.72
367.311    0.999890    10          9090.91
367.311    0.999902    10          10204.08
367.311    0.999915    10          11764.71
367.311    0.999927    10          13698.63
367.311    0.999939    10          16393.44
367.311    0.999945    10          18181.82
367.311    0.999951    10          20408.16
367.311    0.999957    10          23255.81
367.311    0.999963    10          27027.03
367.311    0.999969    10          32258.06
367.311    0.999973    10          37037.04
367.311    0.999976    10          41666.67
367.311    0.999979    10          47619.05
367.311    0.999982    10          55555.56
367.311    0.999985    10          66666.67
367.311    0.999986    10          71428.57
367.311    0.999988    10          83333.33
367.311    0.999989    10          90909.09
367.311    0.999991    10          111111.11
367.311    0.999992    10          125000.00
367.311    0.999993    10          142857.14
367.311    0.999994    10          166666.67
367.311    0.999995    10          200000.00
367.311    0.999996    10          250000.00
367.311    0.999997    10          333333.33
367.311    0.999998    10          500000.00
367.311    0.999999    10          1000000.00
367.311    1.000000    10          10000000.00
