Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.000      0.000000    0           1.00
408.111    0.100000    74          1.11
547.615    0.200000    148         1.25
697.823    0.300000    222         1.43
902.623    0.400000    296         1.67
1090.239   0.500000    371         2.00
1211.007   0.550000    408         2.22
1372.415   0.600000    445         2.50
1533.631   0.650000    482         2.86
1640.959   0.700000    519         3.33
1729.407   0.750000    556         4.00
1794.303   0.775000    574         4.44
1887.743   0.800000    593         5.00
1966.847   0.825000    611         5.71
2053.119   0.850000    630         6.67
2228.223   0.875000    648         8.00
2404.479   0.887500    658         8.89
2541.823   0.900000    667         10.00
2691.199   0.912500    676         11.43
2729.983   0.925000    685         13.33
2853.247   0.937500    695         16.00
2940.927   0.943750    699         17.78
3150.847   0.950000    704         20.00
3231.615   0.956250    709         22.86
3332.607   0.962500    713         26.67
3413.247   0.968750    718         32.00
3490.687   0.971875    720         35.56
3513.215   0.975000    722         40.00
3546.367   0.978125    725         45.71
3563.007   0.981250    727         53.33
3578.623   0.984375    729         64.00
3602.687   0.985938    731         71.11
6903.807   0.987500    732         80.00
9321.983   0.989062    733         91.42
9653.247   0.990625    734         106.67
9750.015   0.992188    735         128.01
10473.471  0.992969    736         142.23
10473.471  0.993750    736         160.00
10608.127  0.994531    737         182.85
10841.087  0.995313    738         213.36
10841.087  0.996094    738         256.02
10841.087  0.996484    738         284.41
11230.207  0.996875    739         320.00
11230.207  0.997266    739         365.76
11230.207  0.997656    739         426.62
14213.631  0.998047    740         512.03
14213.631  0.998242    740         568.83
14213.631  0.998437    740         639.80
14213.631  0.998633    740         731.53
14213.631  0.998828    740         853.24
14213.631  0.999023    740         1023.54
14213.631  0.999121    740         1137.66
14213.631  0.999219    740         1280.41
14213.631  0.999316    740         1461.99
14828.031  0.999414    741         1706.48
14828.031  0.999512    741         2049.18
14828.031  0.999561    741         2277.90
14828.031  0.999609    741         2557.54
14828.031  0.999658    741         2923.98
14828.031  0.999707    741         3412.97
14828.031  0.999756    741         4098.36
14828.031  0.999780    741         4545.45
14828.031  0.999805    741         5128.21
14828.031  0.999829    741         5847.95
14828.031  0.999854    741         6849.32
14828.031  0.999878    741         8196.72
14828.031  0.999890    741         9090.91
14828.031  0.999902    741         10204.08
14828.031  0.999915    741         11764.71
14828.031  0.999927    741         13698.63
14828.031  0.999939    741         16393.44
14828.031  0.999945    741         18181.82
14828.031  0.999951    741         20408.16
14828.031  0.999957    741         23255.81
14828.031  0.999963    741         27027.03
14828.031  0.999969    741         32258.06
14828.031  0.999973    741         37037.04
14828.031  0.999976    741         41666.67
14828.031  0.999979    741         47619.05
14828.031  0.999982    741         55555.56
14828.031  0.999985    741         66666.67
14828.031  0.999986    741         71428.57
14828.031  0.999988    741         83333.33
14828.031  0.999989    741         90909.09
14828.031  0.999991    741         111111.11
14828.031  0.999992    741         125000.00
14828.031  0.999993    741         142857.14
14828.031  0.999994    741         166666.67
14828.031  0.999995    741         200000.00
14828.031  0.999996    741         250000.00
14828.031  0.999997    741         333333.33
14828.031  0.999998    741         500000.00
14828.031  0.999999    741         1000000.00
14828.031  1.000000    741         10000000.00
